Title,Start,End,Mark,
A1 occupied,3/7/2019 12:00:00,15/7/2019 09:00:00,Info,
A1 occupied,27/7/2019 12:00:00,3/8/2019 09:00:00,Info,
A1 occupied,3/8/2019 12:00:00,8/8/2019 09:00:00,Info,
A1 occupied,15/8/2019 12:00:00,18/8/2019 09:00:00,Info,
A1 occupied,19/8/2019 12:00:00,25/8/2019 09:00:00,Info,
A2 occupied,26/7/2019 12:00:00,5/8/2019 09:00:00,Warning,
A2 occupied,5/8/2019 12:00:00,10/8/2019 09:00:00,Warning,
A2 occupied,11/8/2019 12:00:00,18/8/2019 09:00:00,Warning,
A2 occupied,18/8/2019 12:00:00,24/8/2019 09:00:00,Warning,
A2 occupied,24/8/2019 12:00:00,31/8/2019 09:00:00,Warning,
